Date,Open,High,Low,Close,Adj Close,Volume
3/19/2015,88.300003,89.949997,88.300003,88.459999,86.069191,457
3/20/2015,88.300003,88.5,88.300003,88.5,86.108109,45
3/23/2015,87.599998,88,87.599998,88,85.62162,255
3/24/2015,87.599998,88,87.599998,88,85.62162,95
3/25/2015,87.599998,87.849998,86.849998,86.849998,84.502701,50
3/26/2015,87.400002,88,87.400002,87.75,85.37838,100
3/27/2015,85.5,85.900002,85.5,85.900002,83.578384,55
3/30/2015,85.550003,87.099998,85.550003,87.099998,84.745949,550
3/31/2015,87,87.5,87,87.5,85.135139,80
4/1/2015,86.949997,87.199997,86.949997,87.199997,84.843239,45
4/6/2015,87.900002,88.400002,87.900002,88.400002,86.010811,120
4/7/2015,88.699997,89.550003,88.220001,89.449997,87.032433,652
4/8/2015,88.699997,90.099998,88.300003,90.099998,87.664864,845
4/9/2015,88.760002,90.550003,87.25,90.529999,88.083244,2645
4/10/2015,89.349998,90.800003,89.25,90.75,88.297302,459
4/13/2015,89.800003,90.150002,89.800003,90.150002,87.713516,70
4/15/2015,86.900002,92,86.900002,89.949997,87.518921,765
4/16/2015,89.550003,89.550003,89.550003,89.550003,87.129738,1
4/17/2015,89.150002,89.550003,89.150002,89.550003,87.129738,71
4/20/2015,88,89.5,87,89,86.594597,45280
4/21/2015,86.449997,86.449997,86.449997,86.449997,84.11351,1
4/22/2015,85.699997,86.099998,85.699997,86.099998,83.772972,90
4/23/2015,86.300003,86.300003,86.300003,86.300003,83.967575,6
4/24/2015,85.900002,86.300003,85.900002,86.150002,83.821625,100
4/27/2015,86.150002,86.150002,86.150002,86.150002,83.821625,45
4/28/2015,84.099998,85.550003,84.099998,85.550003,83.237839,545
4/29/2015,84.550003,86.5,84.550003,86.480003,84.142708,342
4/30/2015,84.300003,84.300003,84.300003,84.300003,82.021629,1
5/4/2015,83.699997,84.550003,83.699997,84.550003,82.26487,422
5/5/2015,85.25,85.650002,85.25,85.650002,83.335136,100
5/6/2015,87,92,85.650002,86.949997,84.599998,72
5/7/2015,101,101,101,101,98.270271,1
5/8/2015,101,101,87,87,84.648651,211
5/11/2015,97.900002,97.900002,89,89,86.594597,2
5/12/2015,90,90,90,90,87.567566,1
5/13/2015,85,85,85,85,82.702705,5
5/14/2015,85.5,85.75,85.5,85.75,83.432434,50
5/15/2015,87,87,87,87,84.648651,1
5/18/2015,87,87,84.25,84.25,81.972977,101
5/19/2015,89.900002,89.900002,89.5,89.5,87.081085,2
5/20/2015,86,87,84.519997,85.690002,83.374062,438
5/21/2015,92,92,92,92,89.513512,1
5/22/2015,93,93,93,93,90.486488,1
5/25/2015,88,88,88,88,85.62162,5
5/26/2015,93,93,93,93,90.486488,1
5/27/2015,93,96,93,93,90.486488,51
5/28/2015,94,94,94,94,91.459457,1
5/29/2015,93.900002,94,93.900002,94,91.459457,2
6/1/2015,93,93,93,93,90.486488,1
6/2/2015,93,93,93,93,90.486488,1
6/3/2015,87,91.699997,83.019997,84.419998,82.138374,5359
6/4/2015,87,89.800003,86,86,83.675674,818
6/5/2015,84.110001,88,82.099998,86.339996,84.006485,1592
6/8/2015,87,88.480003,84.099998,84.099998,81.827026,1125
6/9/2015,99.699997,99.699997,99,99,96.324326,2
6/10/2015,99,99,99,99,96.324326,1
6/11/2015,98,98,98,98,95.351357,1
6/12/2015,98,98,98,98,95.351357,1
6/15/2015,97,97,97,97,94.37838,1
6/16/2015,97,97,97,97,94.37838,1
6/17/2015,97.900002,98,97.900002,98,95.351357,2
6/18/2015,84.389999,84.800003,84.389999,84.75,82.459457,429
6/19/2015,98.900002,99,98.900002,99,96.324326,2
6/22/2015,85,86,85,85.970001,83.646492,381
6/23/2015,99,99,99,99,96.324326,5
6/24/2015,99,99,98.800003,98.800003,96.129738,102
6/25/2015,84.25,85.599998,83.349998,84.889999,82.59568,998
6/26/2015,84.75,84.980003,84.75,84.949997,82.654053,159
6/29/2015,98.800003,98.800003,98.800003,98.800003,96.129738,48
6/30/2015,85,86.489998,85,85.970001,83.646492,480
7/1/2015,87,87,86.199997,87,84.648651,19
7/2/2015,85,86.699997,85,86.110001,83.782707,1200
7/3/2015,103.5,103.5,86,86.75,84.405403,24
7/6/2015,103.900002,103.900002,87,87,84.648651,26
7/7/2015,100,100,100,100,97.297302,1
7/8/2015,87,87,87,87,84.648651,1
7/9/2015,86.599998,86.639999,85.900002,85.949997,83.627022,368
7/10/2015,100,102.900002,100,102.900002,100.118919,2
7/13/2015,102.400002,102.5,92,92,89.513512,503
7/14/2015,101,101,85.300003,88.400002,86.010811,26
7/15/2015,90,90,85.099998,85.199997,82.897293,22
7/16/2015,90,90,90,90,87.567566,2
7/17/2015,100,100,90,90,87.567566,2
7/20/2015,87.879997,90.5,87.510002,88.949997,86.545944,462
7/21/2015,100,100,90,90,87.567566,11
7/22/2015,94.900002,94.900002,90,90,87.567566,8
7/23/2015,105,105,90,90,87.567566,15
7/24/2015,89,90,89,90,87.567566,2
7/27/2015,105,105,85.650002,85.650002,83.335136,73
7/28/2015,94,94,94,94,91.459457,1
7/29/2015,92,92,92,92,89.513512,1
7/30/2015,90,90,87.5,87.550003,85.183784,36
7/31/2015,100,100,91.25,91.25,88.783783,3
8/3/2015,95,95,95,95,92.432434,5
8/4/2015,94.900002,94.900002,93.699997,93.699997,91.167564,2
8/5/2015,100,100,85.5,86.5,84.162163,213
8/6/2015,87.449997,87.449997,87.449997,87.449997,85.086487,1
8/7/2015,89.900002,89.900002,87.449997,87.449997,85.086487,23
8/10/2015,90,90,88.900002,88.900002,86.497299,51
8/11/2015,87.300003,87.599998,87.300003,87.599998,85.23243,2
8/12/2015,85.050003,86.040001,85,85.199997,82.897293,710
8/13/2015,85.599998,85.919998,85.349998,85.349998,83.043243,239
8/14/2015,86.25,86.910004,86.25,86.779999,84.434593,156
8/17/2015,86.25,87.230003,86.25,86.5,84.162163,505
8/18/2015,90,90,90,90,87.567566,21
8/19/2015,85.699997,88.599998,85.589996,86.300003,83.967575,856
8/20/2015,88.279999,88.279999,85.690002,86,83.675674,284
8/21/2015,94.900002,94.900002,83,83,80.75676,2
8/24/2015,90,90,90,90,87.567566,5
8/25/2015,84.849998,85,83.099998,85,82.702705,796
8/26/2015,86,86,83,84.900002,82.605408,1216
8/27/2015,85.75,85.800003,82.510002,82.699997,80.464867,1806
8/28/2015,85.699997,87.5,83,83,80.75676,801
8/31/2015,85.5,92.849998,83.5,83.660004,81.398926,4940
9/1/2015,83.5,87.800003,81.209999,83.5,81.243248,908
9/2/2015,86.5,94.550003,83.889999,85.400002,83.091896,2682
