Date,Name,Type,StrikePrice,ExpiryDay,Price,ClosePrice,LowPrice,HighPrice,OpenPrice
2020-05-19,NIFTY,PE,9000,2020-05-21,,178.9,105.05,218.8,194.55
2020-05-19,NIFTY,CE,9000,2020-05-21,,57.05,52.0,139.7,134.85
2020-05-19,NIFTY,PE,8950,2020-05-21,,147.75,84.35,185.0,139.95
2020-05-19,NIFTY,CE,9050,2020-05-21,,42.65,38.55,114.0,87.85
2020-05-19,NIFTY,PE,8900,2020-05-21,,120.0,66.4,156.65,130.1
2020-05-19,NIFTY,CE,9100,2020-05-21,,30.7,26.55,91.8,63.05
2020-05-19,NIFTY,PE,8850,2020-05-21,,94.75,52.25,130.7,111.65
2020-05-19,NIFTY,CE,9150,2020-05-21,,21.6,18.5,72.2,51.0
2020-05-19,NIFTY,PE,8800,2020-05-21,,74.95,40.35,106.8,63.55
2020-05-19,NIFTY,CE,9200,2020-05-21,,14.85,12.85,83.7,83.7
2020-05-19,NIFTY,PE,8750,2020-05-21,,57.95,31.4,86.2,40.4
2020-05-19,NIFTY,CE,9250,2020-05-21,,9.85,8.0,74.85,65.0
2020-05-19,NIFTY,CE,9300,2020-05-21,,6.85,6.0,32.7,22.7
2020-05-20,NIFTY,PE,8900,2020-05-21,,14.3,10.0,106.5,97.75
2020-05-20,NIFTY,CE,8900,2020-05-21,,175.75,79.0,215.75,94.45
2020-05-20,NIFTY,PE,8850,2020-05-21,,9.05,6.55,84.15,67.05
2020-05-20,NIFTY,CE,8950,2020-05-21,,133.1,57.85,172.25,69.15
2020-05-20,NIFTY,PE,8800,2020-05-21,,5.8,4.15,63.0,50.2
2020-05-20,NIFTY,CE,9000,2020-05-21,,96.65,40.0,133.7,66.55
2020-05-20,NIFTY,PE,8750,2020-05-21,,3.85,2.85,45.75,38.6
2020-05-20,NIFTY,CE,9050,2020-05-21,,66.4,26.1,99.7,35.55
2020-05-21,NIFTY,PE,9100,2020-05-21,,1.7,0.05,81.05,75.3
2020-05-21,NIFTY,CE,9100,2020-05-21,,7.25,3.45,74.9,40.65
2020-05-21,NIFTY,PE,9050,2020-05-21,,0.25,0.05,41.95,41.65
2020-05-22,NIFTY,PE,9100,2020-05-28,,155.5,121.85,229.3,171.95
2020-05-22,NIFTY,CE,9100,2020-05-28,,82.15,64.7,146.45,75.2
2020-05-22,NIFTY,PE,9050,2020-05-28,,129.0,104.55,199.0,164.55
2020-05-22,NIFTY,CE,9150,2020-05-28,,64.1,50.6,119.9,90.0
