"Date ","Open ","High ","Low ","Close ","Prev. Close ","Change ","% Change"
"24-May-2019","       19.4050","       19.4050","       14.4925","       16.4675","       19.4050","       -2.9400"," -15.14"
"27-May-2019","       16.4675","       17.3350","       13.4800","       16.1900","       16.4675","       -0.2800","  -1.69"
"28-May-2019","       16.1900","       16.5400","       15.3800","       15.9225","       16.1900","       -0.2700","  -1.65"
"29-May-2019","       15.9225","       16.5075","       14.4775","       16.4075","       15.9225","        0.4900","   3.05"
"30-May-2019","       16.4075","       16.4075","       14.8525","       15.6100","       16.4075","       -0.8000","  -4.86"
"31-May-2019","       15.6100","       16.7875","       14.1900","       16.0675","       15.6100","        0.4600","   2.93"
"03-Jun-2019","       16.0675","       16.2325","       14.0750","       15.9675","       16.0675","       -0.1000","  -0.62"
"04-Jun-2019","       15.9675","       15.9675","       14.6675","       15.6275","       15.9675","       -0.3400","  -2.13"
"06-Jun-2019","       15.6275","       15.9250","       13.9750","       15.5250","       15.6275","       -0.1000","  -0.66"
"07-Jun-2019","       15.5250","       15.7300","       13.6275","       14.8575","       15.5250","       -0.6700","  -4.30"
"10-Jun-2019","       14.8575","       15.4525","       13.4475","       14.9750","       14.8575","        0.1200","   0.79"
"11-Jun-2019","       14.9750","       14.9750","       13.4800","       14.4900","       14.9750","       -0.4900","  -3.24"
"12-Jun-2019","       14.4900","       14.7100","       13.3100","       14.1225","       14.4900","       -0.3700","  -2.54"
"13-Jun-2019","       14.1225","       14.2925","       13.2775","       13.6600","       14.1225","       -0.4600","  -3.27"
"14-Jun-2019","       13.6600","       14.1175","       12.6425","       13.8950","       13.6600","        0.2400","   1.72"
"17-Jun-2019","       13.8950","       14.9600","       13.5200","       14.6500","       13.8950","        0.7600","   5.43"
"18-Jun-2019","       14.6500","       14.9700","       11.7375","       14.6000","       14.6500","       -0.0500","  -0.34"
"19-Jun-2019","       14.6000","       15.3000","       10.7900","       14.7300","       14.6000","        0.1300","   0.89"
"20-Jun-2019","       14.7300","       15.1875","       12.8350","       14.0000","       14.7300","       -0.7300","  -4.96"
"21-Jun-2019","       14.0000","       14.8325","       10.6025","       14.6100","       14.0000","        0.6100","   4.36"
"24-Jun-2019","       14.6100","       15.6650","       11.8550","       15.2225","       14.6100","        0.6100","   4.19"
"25-Jun-2019","       15.2225","       15.5850","       14.9275","       15.0100","       15.2225","       -0.2100","  -1.40"
"26-Jun-2019","       15.0100","       15.1950","       14.3900","       14.7500","       15.0100","       -0.2600","  -1.73"
"27-Jun-2019","       14.7500","       14.8875","       13.6475","       14.6450","       14.7500","       -0.1100","  -0.71"
"28-Jun-2019","       14.6450","       15.0725","       13.9950","       14.9525","       14.6450","        0.3100","   2.10"
"01-Jul-2019","       14.9525","       15.0200","       14.4725","       14.6025","       14.9525","       -0.3500","  -2.34"
"02-Jul-2019","       14.6025","       14.8325","       14.0250","       14.2500","       14.6025","       -0.3500","  -2.41"
"03-Jul-2019","       14.2500","       14.3200","       13.5200","       13.6950","       14.2500","       -0.5600","  -3.89"
"04-Jul-2019","       13.6950","       13.6950","       13.0125","       13.5300","       13.6950","       -0.1700","  -1.20"
"05-Jul-2019","       13.5300","       13.9650","       12.6650","       13.0650","       13.5300","       -0.4700","  -3.44"
"08-Jul-2019","       13.0650","       14.0425","       12.1075","       13.8525","       13.0650","        0.7900","   6.03"
"09-Jul-2019","       13.8525","       14.2200","       13.3525","       13.6875","       13.8525","       -0.1700","  -1.19"
